Название;Категория;Калории (ккал);Белки (г);Жиры (г);Углеводы (г);Ссылка
"Колбаса «Гордость фермера» Гранская, 280 г";"Копченые колбасы";269;11;25;;https://yarcheplus.ru/product/kolbasa-26917
"Колбаса сырокопченая «Гордость фермера» Брауншвейгская, 200 г";"Копченые колбасы";537;15;53;;https://yarcheplus.ru/product/kolbasa-syrokopchenaya-26719
"Колбаса «Гордость фермера» Мраморная, 250 г";"Копченые колбасы";409;10;41;;https://yarcheplus.ru/product/kolbasa-25144
"Колбаса «Мясная коллекция» Пепперони полусухая, 250 г";"Копченые колбасы";628;13;64;;https://yarcheplus.ru/product/kolbasa-3248
"Колбаса «Гордость фермера» Фермерская, 300 г";"Копченые колбасы";404;11;40;;https://yarcheplus.ru/product/kolbasa-2797
"Колбаса «Гордость фермера» Деревенская, 300 г";"Копченые колбасы";318;12;30;;https://yarcheplus.ru/product/kolbasa-2607
"Колбаса Ветчинная «Мясная коллекция» варено-копченая, 380 г";"Копченые колбасы";310;10;30;;https://yarcheplus.ru/product/kolbasa-vetchinnaya-2790
"Колбаски варено-копченые «Гордость фермера» К пиву, 240 г";"Копченые колбасы";330;15;30;;https://yarcheplus.ru/product/kolbaski-vareno-kopchenye-2899
"Колбаса «Баварушка» Балыкбургская, 350 г";"Копченые колбасы";170;12;14;;https://yarcheplus.ru/product/kolbasa-35549
"Колбаса «ИНДИлайт» Сабросо Росо, в нарезке, 70 г";"Копченые колбасы";190;28;8;1;https://yarcheplus.ru/product/kolbasa-34539
"Сервелат «Кузбасский Бройлер» Швейцарский с сыром, 340 г";"Копченые колбасы";320.8;14;27.9;;https://yarcheplus.ru/product/servelat-25162
"Сервелат «Кузбасский Бройлер» куриный, 340 г";"Копченые колбасы";280;19;22;;https://yarcheplus.ru/product/servelat-25163
"Колбаса «Сибагро» Краковская ГОСТ, 350 г";"Копченые колбасы";461;14;45;;https://yarcheplus.ru/product/kolbasa-26752
"Колбаса полукопченая «Сибагро» Свиная ГОСТ, 250 г";"Копченые колбасы";461;14;45;;https://yarcheplus.ru/product/kolbasa-polukopchenaya-30351
"Колбаса сырокопченая «Межениновская птицефабрика» Таежная с кедровым орехом, 200 г";"Копченые колбасы";370;24;30;;https://yarcheplus.ru/product/kolbasa-syrokopchenaya-31880
"Колбаса «Дымов» Коньячная, в нарезке, 90 г";"Копченые колбасы";468;18;44;;https://yarcheplus.ru/product/kolbasa-7442
"Колбаса «Мясницкий ряд» «Верона» сыровяленая полусухая, в нарезке, 90 г";"Копченые колбасы";465;15;45;;https://yarcheplus.ru/product/kolbasa-16489
"Колбаса сыровяленая «Мясницкий ряд» Сальчичон, 90 г";"Копченые колбасы";465;15;45;;https://yarcheplus.ru/product/kolbasa-syrovyalenaya-16397
"Колбаса сырокопченая Фестивальная пора, в нарезке, 100 г";"Копченые колбасы";440;18;41;0.5;https://yarcheplus.ru/product/kolbasa-syrokopchenaya-2727
"Колбаски «Дымов» Охотничья экспедиция, 240 г";"Копченые колбасы";470;14;46;;https://yarcheplus.ru/product/kolbaski-2728
"Сервелат «Сибагро» Элитный, 350 г";"Копченые колбасы";370;10;35;3;https://yarcheplus.ru/product/servelat-8065
"Сервелат Фирменный «СПК», 380 г";"Копченые колбасы";230;17;18;1;https://yarcheplus.ru/product/servelat-firmenniy-2553
"Колбаса сыровяленая «ИНДИлайт» Сабросо Монте, в нарезке, 70 г";"Копченые колбасы";190;28;8;1;https://yarcheplus.ru/product/kolbasa-syrovyalenaya-40848
"Колбаса варено-копченая «Омский бекон» Салями финская, 350 г";"Копченые колбасы";253;13.5;21;2.5;https://yarcheplus.ru/product/kolbasa-vareno-kopchenaya-35571
"Колбаса сырокопченая «Сибагро» Сальчичон, 160 г";"Копченые колбасы";430;18;40;;https://yarcheplus.ru/product/kolbasa-syrokopchenaya-35852
"Сосиски «Торговая площадь» Молочные, 300 г";"Сосиски и сардельки";190;17;13;;https://yarcheplus.ru/product/sosiski-40793
"Сосиски «Вязанка» Сочные, 300 г";"Сосиски и сардельки";180;11;15;;https://yarcheplus.ru/product/sosiski-39851
"Сосиски «КХ А.П. Волкова» из филе цыпленка, 350 г";"Сосиски и сардельки";126;8;9.5;2;https://yarcheplus.ru/product/sosiski-38474
"Колбаски вареные «Гордость фермера» Гриль, 300 г";"Сосиски и сардельки";318;12;30;;https://yarcheplus.ru/product/kolbaski-varenye-2630
"Сосиски «Гордость фермера» Молочные, 390 г";"Сосиски и сардельки";296;11;28;;https://yarcheplus.ru/product/sosiski-2932
"Сосиски «Мясная коллекция» Деревенские, 620 г";"Сосиски и сардельки";236;8;20;6;https://yarcheplus.ru/product/sosiski-35438
"Сосиски «ИНДИлайт» Сливочные из индейки, 440 г";"Сосиски и сардельки";260;9;25;;https://yarcheplus.ru/product/sosiski-30725
"Сосиски «Мясная коллекция» с сыром, 300 г";"Сосиски и сардельки";304;10;28;3;https://yarcheplus.ru/product/sosiski-2641
"Сосиски «Сибагро» Mini, 220 г";"Сосиски и сардельки";270;10;26;;https://yarcheplus.ru/product/sosiski-36137
"Сосиски «Сибагро» Сливочные, 300 г";"Сосиски и сардельки";211;10;19;;https://yarcheplus.ru/product/sosiski-34449
"Сосиски «Мясная коллекция» на завтрак, 300 г";"Сосиски и сардельки";232;8;20;5;https://yarcheplus.ru/product/sosiski-31179
"Сосиски «Дымов» Молочные, 300 г";"Сосиски и сардельки";296;11;28;;https://yarcheplus.ru/product/sosiski-6956
"Сосиски «Сибагро» Мясные по-сибирски, 400 г";"Сосиски и сардельки";274;8;26;2;https://yarcheplus.ru/product/sosiski-28633
"Шпикачки «Сибагро» Москворецкие ГОСТ, 400 г";"Сосиски и сардельки";321;10;33;;https://yarcheplus.ru/product/shpikachki-26751
"Сосиски «Мясницкий ряд» Фермерские, вареные, 420 г";"Сосиски и сардельки";230;10;20;2;https://yarcheplus.ru/product/sosiski-17858
"Сосиски «Дымов» сливочные, 300 г";"Сосиски и сардельки";211;10;19;;https://yarcheplus.ru/product/sosiski-8268
"Сосиски «BigSos» Большая SOSиска, 340 г";"Сосиски и сардельки";260;17;21;;https://yarcheplus.ru/product/sosiski-2714
"Сосиски «СПК» молочные, 360 г";"Сосиски и сардельки";150;13;11;;https://yarcheplus.ru/product/sosiski-2600
"Сосиски «ИНДИлайт» Грандос, 440 г";"Сосиски и сардельки";220;13;16;1;https://yarcheplus.ru/product/sosiski-40849
"Сардельки с говядиной «Бахрушинъ» мини, 270 г";"Сосиски и сардельки";330;9;31;2;https://yarcheplus.ru/product/sardelki-s-govyadinoy-40806
"Сосиски «Торговая площадь» Баварские, 350 г";"Сосиски и сардельки";230;12;2;8;https://yarcheplus.ru/product/sosiski-18258
"Грудка цыпленка-бройлера «Гордость фермера» копчено-вареная, 0,2 - 0,8 кг";"Деликатесы";125;20;5;;https://yarcheplus.ru/product/grudka-tsyplenka-broylera-40571
"Балык «Di Salsi» сыровяленый, 0,18 - 0,22 кг";"Деликатесы";170;;10;;https://yarcheplus.ru/product/balyk-40662
"Слайсы из мяса курицы «Мясная марка», 100 г";"Деликатесы";272;57.6;4.6;;https://yarcheplus.ru/product/slaysy-iz-myasa-kuritsy-40370
"Балык свиной «Дымов» в нарезке, 70 г";"Деликатесы";147;21;7;;https://yarcheplus.ru/product/balyk-svinoy-39732
"Шейка Коппа «DiSalsi» сыровяленная в/у, 0,2 - 0,3 кг";"Деликатесы";291;12;27;;https://yarcheplus.ru/product/sheyka-koppa-39423
"Грудинка Лордо «Banchetto» копчено-вареная с можжевельником и перцем, 80 г";"Деликатесы";860;5;95;;https://yarcheplus.ru/product/grudinka-lordo-39567
"Грудка «КХ А.П. Волкова» су-вид Люкс из мяса птицы, 0,25 - 0,39 кг";"Деликатесы";98.9;18.9;1.8;0.2;https://yarcheplus.ru/product/grudka-39455
"Свинина копчено-вареная «Кортадор» Панчетта Арролата, 120 г";"Деликатесы";494;11;50;;https://yarcheplus.ru/product/svinina-kopcheno-varenaya-39506
"Ассорти мясных деликатесов «Кортадор», 120 г";"Деликатесы";400;10;40;;https://yarcheplus.ru/product/assorti-myasnykh-delikatesov-39505
"Карпаччо «Дымов» из курицы, в нарезке, 70 г";"Деликатесы";170;20;10;;https://yarcheplus.ru/product/karpachcho-39001
"Грудинка «Гордость фермера», 290 г";"Деликатесы";400;10;40;;https://yarcheplus.ru/product/grudinka-8429
"Карбонад «Гордость фермера», 300 г";"Деликатесы";154;16;10;;https://yarcheplus.ru/product/karbonad-18357
"Сало солёное «Гордость фермера» Деревенское, 300 г";"Деликатесы";820;1.5;90;;https://yarcheplus.ru/product/salo-solyonoe-32309
"Сало бутербродное «Гордость фермера» с горчицей, 100 г";"Деликатесы";850;1.5;92.8;2.2;https://yarcheplus.ru/product/salo-buterbrodnoe-32236
"Свиные ребрышки «Гордость фермера» к пиву, 300 г";"Деликатесы";408;12;40;;https://yarcheplus.ru/product/svinye-rebryshki-6836
"Уши свиные копченые «КХ А.П. Волков», 200 г";"Деликатесы";112;19;4;;https://yarcheplus.ru/product/ushi-svinye-kopchenye-35080
"Рулет копчено-вареный «Мясницкий ряд» из говядины, 80 г";"Деликатесы";120;10;8;2;https://yarcheplus.ru/product/rulet-kopcheno-vareniy-34976
"Мясное ассорти «Останкино» балык и шейка, 90 г";"Деликатесы";195;15;15;;https://yarcheplus.ru/product/myasnoe-assorti-36047
"Деликатес к/в «Сибагро» Лопатка, 300 г";"Деликатесы";314;11;30;;https://yarcheplus.ru/product/delikates-k-v-35953
"Рулька «Мясная коллекция» копчено-вареная, 300 г";"Деликатесы";314;11;30;;https://yarcheplus.ru/product/rulka-18734
